Original_Title,Author,ISBN13,Publisher,Published_Date
Artemis Fowl: The Time Paradox,Eoin Colfer,9781423108368, Hyperion  Books for Children,2008
Columbine,Dave Cullen,9780446566995, Twelve,2010
Men of the Otherworld,Kelley Armstrong,9780553807097, Bantam,2009
Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991,Michael Azerrad,9780316787536, Back Bay Books,2002
The Lightning Thief,Rick Riordan,9780141329994, Puffin,2009
The Darkest Minds,Alexandra Bracken,9781423157373, Disney Hyperion,2012
Undead and Unappreciated,MaryJanice Davidson,9780425204337, Berkley Sensation,2005
Shadow Puppets,Orson Scott Card,9780765340054, Tor Books,2003
"Danse Macabre (Anita Blake, Vampire Hunter, #14)",Laurell K. Hamilton,9780515142815, Jove,2007
Baba ve Piç,Elif Shafak,9780670038343, Viking Adult,2007
Rhett Butler's People,Donald McCaig,9781427203274, Macmillan Audio,2007
The Fire Within,Chris d'Lacey,9780439672443, Scholastic Inc.,2007
The Mysterious Benedict Society,Trenton Lee Stewart,9780316057776," Little, Brown and Company",2007
סיפור על אהבה וחושך,Amos Oz,9780156032520, Mariner Books,2005
Blood Red Road,Moira Young,9781442429987, Margaret K. McElderry Books,2011
Still Life,Louise Penny,9780312948559, St. Martin's Paperbacks,2007
Only the Good Spy Young,Ally Carter,9781423128205, Hyperion Book CH,2010
Furies of Calderon,Jim Butcher,9780441012688, Ace,2005
Tintentod,Cornelia Funke,9781905294718, Chicken House,2007
Plateforme,Michel Houellebecq,9781400030262, Vintage,2004
Teemestarin kirja,Emmi Itäranta,9780062326157, Harper Voyager,2014
13 Little Blue Envelopes,Maureen Johnson,9780060541439, HarperTeen,2010
Magic Bleeds,Ilona Andrews,9780441018529, Ace,2010
Mirror Mirror,Gregory Maguire,9780060988654, Regan Books,2004
The Lion,Nelson DeMille,9780446580830, Grand Central Publishing,2010
The Underneath,Kathi Appelt,9781416950585, Atheneum Books for Young Readers,2008
The Raven Boys,Maggie Stiefvater,9780545424936, Scholastic Inc.,2013
The Marriage Plot,Jeffrey Eugenides,9780374203054," Farrar, Straus and Giroux",2011
Don't Judge a Girl by Her Cover,Ally Carter,9781423116387, Hyperion Books,2009
A Long Long Way,Sebastian Barry,9780143035091, Penguin Books,2005
Cane River,Lalita Tademy,9780446678452, Grand Central Publishing,2002
Stray,Rachel Vincent,9780778324218, Mira Books,2007
Caim,José Saramago,9789722120760, Caminho,2009
Special Topics in Calamity Physics,Marisha Pessl,9780670037773, Penguin Books Ltd,2006
The Enemy,Lee Child,9780440241010, Dell Publishing Company,2005
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,9780307886262, Crown Archetype,2011
Under the Never Sky,Veronica Rossi,9781907411052, Atom,2012
Defending Jacob,William Landay,9780385344227, Delacorte Press,2012
