120,9780062059932,The Selection,Kiera Cass, HarperTeen,"[u'April', u'24th', u'2012\n']",9780062059970,The Elite (Selection Series #2),Kiera Cass,HarperCollins Publishers,2014
121,9780062059932,The Selection,Kiera Cass, HarperTeen,"[u'April', u'24th', u'2012\n']",9780062060006,The One (Selection Series #3),Kiera Cass,HarperCollins Publishers,2015
122,9780062059963,The Elite,Kiera Cass, HarperTeen,"[u'April', u'23rd', u'2013\n']",9780062059970,The Elite (Selection Series #2),Kiera Cass,HarperCollins Publishers,2014
123,9780062059994,The One,Kiera Cass, HarperTeen,"[u'May', u'6th', u'2014\n']",9780062060006,The One (Selection Series #3),Kiera Cass,HarperCollins Publishers,2015
124,9780062060556,Before I Go To Sleep,S.J. Watson, HarperCollins Publishers,"[u'June', u'14th', u'2011\n']",9780062060563,Before I Go to Sleep,S. J. Watson,HarperCollins Publishers,2012
125,9780062065247,The Round House,Louise Erdrich, HarperCollins,"[u'October', u'2nd', u'2012\n']",9780062065254,The Round House,Louise Erdrich,HarperCollins Publishers,2013
126,9780062065254,The Round House,Louise Erdrich, Harper Perennial,"[u'September', u'24th', u'2013\n']",9780062065254,The Round House,Louise Erdrich,HarperCollins Publishers,2013
127,9780062077561,All That I Am,Anna Funder, HarperTorch,"[u'February', u'7th', u'2012\n']",9780062077578,All That I Am,Anna Funder,HarperCollins Publishers,2013
128,9780062085481,"Shatter Me (Shatter Me, #1)",Tahereh Mafi, Harper,"[u'November', u'15th', u'2011\n']",9780062085504,Shatter Me (Shatter Me Series #1),Tahereh Mafi,HarperCollins Publishers,2012
129,9780062085504,"Shatter Me (Shatter Me, #1)",Tahereh Mafi, HarperCollins,"[u'October', u'2nd', u'2012\n']",9780062085504,Shatter Me (Shatter Me Series #1),Tahereh Mafi,HarperCollins Publishers,2012
130,9780062103321,The New Republic,Lionel Shriver, Harper,"[u'March', u'27th', u'2012\n']",9780594795230,The New Republic: A Novel,Lionel Shriver,HarperCollins Publishers,2013
131,9780062112248,The Illusion of Separateness,Simon Van Booy, Harper,"[u'June', u'11th', u'2013\n']",9780062248459,The Illusion of Separateness: A Novel,Simon Van Booy,HarperCollins Publishers,2014
132,9780062124265,Flight Behavior,Barbara Kingsolver, HarperCollins,"[u'November', u'6th', u'2012\n']",9780062124272,Flight Behavior,Barbara Kingsolver,HarperCollins Publishers,2013
133,9780062200570,NOS4A2,Joe Hill, William Morrow,"[u'April', u'30th', u'2013\n']",9780062200587,NOS4A2,Joe Hill,HarperCollins Publishers,2013
134,9780062220004,The Murder Complex,Lindsay Cummings, Greenwillow Books,"[u'June', u'10th', u'2014\n']",9780062220011,The Murder Complex (Murder Complex Series #1),Lindsay Cummings,HarperCollins Publishers,2015
135,9780062237422,Free Four: Tobias Tells the Divergent Story,Veronica Roth, Katherine Tegen Books,"[u'April', u'23rd', u'2012\n']",9780062237422,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,HarperCollins Publishers,2012
136,9780062255655,The Ocean at the End of the Lane,Neil Gaiman, William Morrow Books,"[u'June', u'18th', u'2013\n']",9780062255662,The Ocean at the End of the Lane,Neil Gaiman,HarperCollins Publishers,2014
137,9780062273581,To Marry a Scottish Laird,Lynsay Sands, Avon,"[u'June', u'24th', u'2014\n']",9780062273574,To Marry a Scottish Laird,Lynsay Sands,HarperCollins Publishers,2014
138,9780062285638,Four: The Transfer,Veronica Roth, Katherine Tegen Books,"[u'September', u'3rd', u'2013\n']",9780062285638,Four: The Transfer: A Divergent Story,Veronica Roth,HarperCollins Publishers,2013
139,9780062285652,Four: The Initiate,Veronica Roth, Katherine Tegen Books,"[u'July', u'8th', u'2014\n']",9780062285638,Four: The Transfer: A Divergent Story,Veronica Roth,HarperCollins Publishers,2013
140,9780062285683,Four: A Divergent Collection,Veronica Roth, HarperCollins Publishers,"[u'July', u'8th', u'2014\n']",9780062421364,Four: A Divergent Collection,Veronica Roth,HarperCollins Publishers,2016
141,9780062409850,Go Set a Watchman,Harper Lee, HarperCollins,"[u'July', u'14th', u'2015\n']",9780062409867,Go Set a Watchman,Harper Lee,HarperCollins Publishers,2016
